"","tip.lab","dates"
"830","KX416064","2016/03/10"
"831","KX414097","2016/01/19"
"832","KX414817","2016/02/15"
"833","CY208201","2016/02/10"
"834","CY228373","2017/02/27"
"835","CY234272","2017/02/27"
"836","KX415320","2016/02/25"
"837","KX414249","2016/01/19"
"838","KX412454","2015/10/21"
"839","KU591797","2015/09/06"
"840","CY210053","2016/02/04"
"841","KY273050","2016/02/05"
"842","KU590063","2015/09/13"
"843","KT843973","2015/09/01"
"844","KU591464","2015/09/20"
"845","MF195731","2016/02/09"
"846","MF113183","2016/03/07"
"847","MF113181","2015/10/14"
"848","KX412093","2015/08/04"
"849","KU590510","2015/10/12"
"850","KU590518","2015/10/12"
"851","KX412117","2015/08/15"
"852","KT844207","2015/07/23"
"853","KU592112","2015/10/09"
"854","KX916260","2016/02/24"
"855","CY234966","2016/12/22"
"856","CY235026","2017/01/11"
"857","KX412630","2015/12/13"
"858","CY216033","2017/01/09"
"859","CY215146","2017/01/02"
"860","CY216577","2017/01/18"
"861","CY234955","2017/01/06"
"862","CY218222","2017/01/10"
"863","CY213258","2016/12/25"
"864","CY210416","2016/11/15"
"865","CY212642","2016/12/08"
"866","CY210488","2016/11/15"
"867","CY210791","2016/11/29"
"868","CY214810","2016/12/04"
"869","KY583591","2016/12/12"
"870","CY216625","2017/01/19"
